asset,date
tp1-left,'2020-06-30T16:49:00+03:00'
tp1-right,'2020-06-30T16:49:00+03:00'
tp2-left,'2020-06-30T16:49:00+03:00'
tp2-right,'2020-06-30T16:49:00+03:00'
tp3-left,'2020-06-30T16:49:00+03:00'
tp3-right,'2020-06-30T16:49:00+03:00'
tp4-left,'2020-06-30T16:49:00+03:00'
tp4-right,'2020-06-30T16:49:00+03:00'
tp5-left,'2020-06-30T16:49:00+03:00'
tp5-right,'2020-06-30T16:49:00+03:00'
tp6-left,'2020-06-30T16:49:00+03:00'
tp6-right,'2020-06-30T16:49:00+03:00'
tr1,'2020-06-30T16:49:00+03:00'
tr2,'2020-06-30T16:49:00+03:00'
